"bnavn1";"tliten";"tstor, vegnummer";"lat";"lon";"harAp";"apBeskr";"kommunenr";"bomstasjonId";"aadtTotal";"aadtLGV";"aadtYear";"aadtId"
"LIKNES";"12.0";"24.0";"Fv47";"59.23485";"5.19785";"Ja";"AutoPASS + automatisk";"1149";"264392515";"4800";"6";"2013";"79293497"
"VEAKROSSEN";"12.0";"24.0";"Fv47";"59.27731";"5.24761";"Ja";"AutoPASS + automatisk";"1149";"264392516";"10250";"6";"2013";"165459769"
"BYGNES";"12.0";"24.0";"Fv47";"59.29838";"5.29211";"Ja";"AutoPASS + automatisk";"1149";"264392517";"13750";"6";"2013";"79293485"
"KARMSUNDGATA SØR";"12.0";"24.0";"Fv47";"59.39918";"5.29371";"Ja";"AutoPASS + automatisk";"1106";"264392514";"24000";"6";"2013";"79293454"
"TITTELSNESVEIEN";"12.0";"24.0";"Fv47";"59.42741";"5.26447";"Ja";"AutoPASS + automatisk";"1106";"264392513";"16000";"6";"2013";"165459773"
"T-forbindelsen";"26.0";"52.0";"Fv47";"59.31297";"5.43114";"Ja";"AutoPASS + automatisk";"1146";"434306365";"3300";"12";"2013";"489813418"
"Atlanterhavstunnelen";"89.0";"660.0";"Fv64";"63.10485";"7.62831";"Ja";"AutoPASS + automatisk";"1554";"265182536";"2120";"8";"2013";"485504351"
"Sykkylvsbrua";"35.0";"105.0";"Fv71";"62.38360";"6.57390";"Ja";"AutoPASS + automatisk";"1528";"537790518";"1320";"10";"2013";"80275666"
"Sykkylvsbrua";"35.0";"105.0";"Fv71";"62.38358";"6.57381";"Ja";"AutoPASS + automatisk";"1528";"537790516";"1320";"10";"2013";"80275666"
"Fv78 Hjartåsen";"27.0";"54.0";"Fv78";"65.87784";"13.16493";"Ja";"AutoPASS + automatisk";"1824";"480752986";"1958";"13";"2012";"88710392"
"Jondalstunnelen";"100.0";"200.0";"Fv107";"60.15896";"6.29861";"Ja";"AutoPASS + automatisk";"1224";"360759955";"250";"15";"2013";"374205766"
"FV 108 Værstebrua";"22.0";"44.0";"Fv108";"59.21411";"10.92652";"Ja";"AutoPASS + automatisk";"0106";"285581593";"8829";"5";"2013";"487480653"
"FV 108 Gamle Kråkerøy bru";"22.0";"44.0";"Fv108";"59.20758";"10.93754";"Ja";"AutoPASS + automatisk";"0106";"285581595";"10625";"6";"2013";"91907016"
"GML Svinesund";"20.0";"100.0";"Fv118";"59.10047";"11.26848";"Ja";"AutoPASS + automatisk";"0101";"92239701";"6059";"2";"2013";"91907531"
"Slitu";"25.0";"50.0";"Fv128";"59.58153";"11.24817";"Ja";"AutoPASS + automatisk";"0125";"147093299";"1860";"8";"2013";"91907113"
"Fossum";"25.0";"50.0";"Fv128";"59.60926";"11.09635";"Ja";"AutoPASS + automatisk";"0123";"151767975";"5041";"11";"2013";"375876316"
"Bærumsveien";"15.5";"46.5";"Fv160";"59.92658";"10.62464";"Ja";"AutoPASS + automatisk";"0219";"209148811";"11000";"5";"2013";"83258434"
"Griniveien";"15.5";"46.5";"Fv168";"59.95263";"10.63354";"Ja";"AutoPASS + automatisk";"0219";"209148810";"13100";"6";"2013";"83258370"
"FÅBERG KIRKE";"18.0";"36.0";"Fv255";"61.16263";"10.36172";"Ja";"AutoPASS + automatisk";"0501";"233027476";"4200";"9";"2013";"90354683"
"Florida";"25.0";"50.0";"Fv256";"60.38179";"5.33294";"Ja";"AutoPASS + automatisk";"1201";"403585193";"6300";"7";"2013";"389413321"
"Auli";"15.0";"30.0";"Fv300";"59.28180";"10.36924";"Ja";"AutoPASS + automatisk";"0704";"157082762";"21000";"10";"2013";"375071745"
"Kjelle";"15.0";"30.0";"Fv308";"59.28540";"10.39568";"Ja";"AutoPASS + automatisk";"0704";"157083316";"12000";"9";"2013";"321917337"
"Kanalen";"15.0";"30.0";"Fv308";"59.26145";"10.41615";"Ja";"AutoPASS + automatisk";"0704";"157083317";"34000";"8";"2013";"87325947"
"Kambo";"23.0";"46.0";"Fv311";"59.48883";"10.69970";"Ja";"AutoPASS + automatisk";"0104";"147093297";"982";"8";"2013";"91907453"
"Presterød";"15.0";"30.0";"Fv311";"59.27356";"10.44354";"Ja";"AutoPASS + automatisk";"0704";"157083315";"23000";"7";"2013";"321917343"
"Gamlevegen";"20.0";"50.0";"Fv314";"58.88537";"5.74270";"Ja";"Har autopass";"1102";"79799750";"7800";"11";"2013";"79294972"
